piece,board_size,mobility_rating
knight,17,3
king,17,3
queen,17,4
rook,17,4
bishop,17,3
gamma,17,3
delta,17,3
theta,17,3
lambda,17,3
xi,17,3
pi,17,3
sigma,17,3
phi,17,3
psi,17,3
omega,17,3
mercury,17,3
venus,17,3
earth,17,3
mars,17,3
jupiter,17,3
saturn,17,3
uranus,17,3
neptune,17,3
ceres,17,3
pallas,17,3
pluto,17,3
leo,17,3
virgo,17,3
libra,17,3
scorpio,17,3
sagittarius,17,3
capricorn,17,3
fibonacci,17,3
gunkan,17,5
knight,18,3
king,18,3
queen,18,4
rook,18,3
bishop,18,3
gamma,18,3
delta,18,3
theta,18,3
lambda,18,3
xi,18,3
pi,18,3
sigma,18,3
phi,18,3
psi,18,3
omega,18,3
mercury,18,3
venus,18,3
earth,18,3
mars,18,3
jupiter,18,3
saturn,18,3
uranus,18,3
neptune,18,3
ceres,18,3
pallas,18,3
pluto,18,3
leo,18,3
virgo,18,3
libra,18,3
scorpio,18,3
sagittarius,18,3
capricorn,18,3
fibonacci,18,3
gunkan,18,5
knight,19,3
king,19,3
queen,19,4
rook,19,3
bishop,19,3
gamma,19,3
delta,19,3
theta,19,3
lambda,19,3
xi,19,3
pi,19,3
sigma,19,3
phi,19,3
psi,19,3
omega,19,3
mercury,19,3
venus,19,3
earth,19,3
mars,19,3
jupiter,19,3
saturn,19,3
uranus,19,3
neptune,19,3
ceres,19,3
pallas,19,3
pluto,19,3
leo,19,3
virgo,19,3
libra,19,3
scorpio,19,3
sagittarius,19,3
capricorn,19,3
fibonacci,19,3
gunkan,19,5
knight,20,3
king,20,3
queen,20,4
rook,20,3
bishop,20,3
gamma,20,3
delta,20,3
theta,20,3
lambda,20,3
xi,20,3
pi,20,3
sigma,20,3
phi,20,3
psi,20,3
omega,20,3
mercury,20,3
venus,20,3
earth,20,3
mars,20,3
jupiter,20,3
saturn,20,3
uranus,20,3
neptune,20,3
ceres,20,3
pallas,20,3
pluto,20,3
leo,20,3
virgo,20,3
libra,20,3
scorpio,20,3
sagittarius,20,3
capricorn,20,3
fibonacci,20,3
gunkan,20,5
